,imdb_title_id,title,original_title,year,DATE,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,CPI_Multiplier,budget_adj,genre2,oscar,oscar2
191,tt0021749,Luci della città,City Lights,1931,1931,"Comedy, Drama, Romance",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,162668,1500000,19181,$ 46008,99.0,295.0,122.0,18.198222543629083,27.297333815443626,Comedy,True,False
445,tt0027977,Tempi moderni,Modern Times,1936,1937,"Comedy, Drama, Family",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.5,211250,1500000,163577,$ 457688,96.0,307.0,115.0,19.232449313390912,28.84867397008637,Family,True,False
500,tt0029583,Biancaneve e i sette nani,Snow White and the Seven Dwarfs,1937,1938,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,"Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell, Bill Thompson","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.6,177157,1499000,184925486,$ 184925486,95.0,260.0,173.0,19.628246379577703,29.42274132298698,Family,False,False
557,tt0031381,Via col vento,Gone with the Wind,1939,1949,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,283975,3977000,200852579,$ 402352579,97.0,881.0,197.0,11.617539643484735,46.20295516213879,Romance,True,True
573,tt0031679,Mr. Smith va a Washington,Mr. Smith Goes to Washington,1939,1947,"Comedy, Drama",129,USA,English,Frank Capra,"Sidney Buchman, Lewis R. Foster",Columbia Pictures,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",8.1,104547,1900000,144738,$ 144738,73.0,296.0,88.0,12.398913250245599,23.55793517546664,Comedy,True,True
593,tt0032138,Il mago di Oz,The Wizard of Oz,1939,1949,"Adventure, Family, Fantasy",102,USA,English,"Victor Fleming, George Cukor","Noel Langley, Florence Ryerson",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,8.0,366293,2777000,24790250,$ 26142032,100.0,688.0,168.0,11.617539643484735,32.261907589957104,Family,True,True
603,tt0032455,Fantasia,Fantasia,1940,1946,"Animation, Family, Fantasy",125,USA,English,"James Algar, Samuel Armstrong","Joe Grant, Dick Huemer",Walt Disney Productions,"Deems Taylor, Leopold Stokowski, The Philadelphia Orchestra",A collection of animated interpretations of great works of Western classical music.,7.8,86795,2280000,76408097,$ 76411401,96.0,342.0,119.0,14.227803044951074,32.439390942488444,Family,False,False
620,tt0032910,Pinocchio,Pinocchio,1940,1947,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Animation Studios,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Clarence Nash, Patricia Page, Christian Rub, Bill Thompson, Evelyn Venable","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",7.4,127618,2600000,84254167,$ 121892045,99.0,202.0,140.0,12.398913250245599,32.237174450638555,Family,False,False
648,tt0033467,Quarto potere,Citizen Kane,1941,1948,"Drama, Mystery",119,USA,"English, Italian",Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,389322,839727,1585634,$ 1594107,100.0,1452.0,248.0,11.507251858960956,9.662950081769706,Drama,True,False
671,tt0034167,Il sergente York,Sergeant York,1941,1948,"Biography, Drama, History",134,USA,"English, French, German",Howard Hawks,"Abem Finkel, Harry Chandlee",Warner Bros.,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges, Margaret Wycherly, Ward Bond, Noah Beery Jr., June Lockhart, Dickie Moore, Clem Bevans, Howard Da Silva, Charles Trowbridge, Harvey Stephens, David Bruce",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,7.7,15009,1400000,16361885,$ 16364924,,115.0,42.0,11.507251858960956,16.110152602545337,Drama,True,True
692,tt0034583,Casablanca,Casablanca,1942,1946,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,509953,950000,4108411,$ 4374761,100.0,1303.0,196.0,14.227803044951074,13.51641289270352,Romance,True,True
727,tt0035423,Kate & Leopold,Kate & Leopold,2001,2002,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,"Steven Rogers, James Mangold",Konrad Pictures,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.4,77852,48000000,47121859,$ 76019048,44.0,341.0,115.0,1.5377542222153344,73.81220266633606,Comedy,True,False
789,tt0036868,I migliori anni della nostra vita,The Best Years of Our Lives,1946,1948,"Drama, Romance, War",170,USA,English,William Wyler,"Robert E. Sherwood, MacKinlay Kantor",The Samuel Goldwyn Company,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Harold Russell, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,8.0,56280,2100000,23650000,$ 23656620,93.0,288.0,125.0,11.507251858960956,24.165228903818008,Romance,True,True
803,tt0037059,Incontriamoci a Saint Louis,Meet Me in St. Louis,1944,1945,"Comedy, Drama, Family",113,USA,English,Vincente Minnelli,"Irving Brecher, Fred F. Finklehoffe",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, Leon Ames, Tom Drake, Marjorie Main, Harry Davenport, June Lockhart, Henry H. Daniels Jr., Joan Carroll, Hugh Marlowe, Robert Sully, Chill Wills","In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",7.6,19887,1700000,403521,$ 485932,,167.0,107.0,15.374240835848298,26.136209420942105,Family,True,True
830,tt0037638,Detour,Detour,1945,1946,"Crime, Drama, Film-Noir",68,USA,English,Edgar G. Ulmer,"Martin Goldsmith, Martin Goldsmith",Producers Releasing Corporation (PRC),"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald, Tim Ryan, Esther Howard, Pat Gleason",Chance events trap hitch-hiker Al Roberts in a tightening net of film noir trouble.,7.4,14504,30000,16172,$ 16172,,184.0,111.0,14.227803044951074,0.42683409134853223,Drama,False,False
878,tt0038499,Duello al sole,Duel in the Sun,1946,1948,"Drama, Romance, Western",129,USA,English,"King Vidor, Otto Brower","David O. Selznick, Niven Busch",Selznick International Pictures,"Jennifer Jones, Joseph Cotten, Gregory Peck, Lionel Barrymore, Herbert Marshall, Lillian Gish, Walter Huston, Charles Bickford, Harry Carey, Joan Tetzel, Tilly Losch, Butterfly McQueen, Scott McKay, Otto Kruger, Sidney Blackmer","Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",6.8,7858,8000000,20408163,$ 20428771,,101.0,46.0,11.507251858960956,92.05801487168765,Romance,True,True
937,tt0039631,Monsieur Verdoux,Monsieur Verdoux,1947,1948,"Comedy, Crime, Drama",124,USA,English,Charles Chaplin,"Charles Chaplin, Orson Welles",Charles Chaplin Productions,"Charles Chaplin, Mady Correll, Allison Roddan, Robert Lewis, Audrey Betz, Martha Raye, Ada May, Isobel Elsom, Marjorie Bennett, Helene Heigh, Margaret Hoffman, Marilyn Nash, Irving Bacon, Edwin Mills, Virginia Brissac","A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.",7.9,15450,2000000,64636,$ 64636,,84.0,72.0,11.507251858960956,23.01450371792191,Comedy,True,True
1083,tt0042192,Eva contro Eva,All About Eve,1950,1951,Drama,138,USA,"English, French",Joseph L. Mankiewicz,Joseph L. Mankiewicz,Twentieth Century Fox,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,8.2,117634,1400000,63463,$ 150438,98.0,373.0,140.0,10.656441067146526,14.919017494005136,Drama,True,True
1091,tt0042332,Cenerentola,Cinderella,1950,1950,"Animation, Family, Fantasy",74,USA,English,"Clyde Geronimi, Wilfred Jackson","Charles Perrault, Bill Peet",Walt Disney Productions,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.",7.3,142164,2900000,93141149,$ 95126535,85.0,155.0,128.0,11.497549520622853,33.342893609806275,Family,False,False
1126,tt0043014,Viale del tramonto,Sunset Blvd.,1950,1951,"Drama, Film-Noir",110,USA,English,Billy Wilder,"Charles Brackett, Billy Wilder",Paramount Pictures,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklyn Farnum, Larry J. Blake, Charles Dayton, Cecil B. DeMille, Hedda Hopper, Buster Keaton, Anna Q. Nilsson, H.B. Warner",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,8.4,195789,1752000,299645,$ 299645,,615.0,178.0,10.656441067146526,18.670084749640715,Drama,True,True
1137,tt0043278,Un americano a Parigi,An American in Paris,1951,1952,"Drama, Musical, Romance",114,USA,"English, French, German",Vincente Minnelli,"Alan Jay Lerner, Alan Jay Lerner",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary, Nina Foch",Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,7.2,29738,2723903,267824,$ 272619,83.0,171.0,101.0,10.41804742681154,28.377750640034236,Romance,True,True
1217,tt0044672,Il più grande spettacolo del mondo,The Greatest Show on Earth,1952,1952,"Drama, Family, Romance",152,USA,"English, Russian",Cecil B. DeMille,"Fredric M. Frank, Barré Lyndon",Paramount Pictures,"Betty Hutton, Cornel Wilde, Charlton Heston, Dorothy Lamour, Gloria Grahame, Henry Wilcoxon, Lyle Bettger, Lawrence Tierney, Emmett Kelly, Cucciola, Antoinette Concello, John Ringling North, Tuffy Genders, John Kellogg, John Ridgely","The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.",6.6,12569,4000000,36000000,$ 36000000,,130.0,51.0,10.41804742681154,41.67218970724616,Family,True,True
1243,tt0045152,Cantando sotto la pioggia,Singin' in the Rain,1952,1953,"Comedy, Musical, Romance",103,USA,English,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",A silent film production company and cast make a difficult transition to sound.,8.3,213152,2540800,1826108,$ 1864182,99.0,671.0,155.0,10.333682539543231,26.25582059647144,Comedy,True,True
1244,tt0045205,So che mi ucciderai,Sudden Fear,1952,1952,"Film-Noir, Thriller",110,USA,English,David Miller,"Lenore J. Coffee, Robert Smith",Joseph Kaufman Productions,"Joan Crawford, Jack Palance, Gloria Grahame, Bruce Bennett, Virginia Huston, Mike Connors","After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.",7.5,4973,720000,24476,$ 24476,,98.0,39.0,10.41804742681154,7.50099414730431,Thriller,True,True
1277,tt0045793,Da qui all'eternità,From Here to Eternity,1953,1954,"Drama, Romance, War",118,USA,English,Fred Zinnemann,"Daniel Taradash, James Jones",Columbia Pictures,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Mickey Shaughnessy, Harry Bellaver, Ernest Borgnine, Jack Warden, John Dennis, Merle Travis, Tim Ryan, Arthur Keegan, Barbara Morrison","In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",7.6,42401,1650000,36416,$ 36416,85.0,184.0,124.0,10.301325965753428,16.997187843493155,Romance,True,True
1280,tt0045826,Glen or Glenda,Glen or Glenda,1953,1953,Drama,65,USA,English,Edward D. Wood Jr.,"Edward D. Wood Jr., Edward D. Wood Jr.",Screen Classics (II),"Bela Lugosi, Lyle Talbot, Timothy Farrell, Dolores Fuller, 'Tommy' Haynes, Edward D. Wood Jr., Charlie Crafts, Conrad Brooks",A psychiatrist tells the stories of a transvestite (Glen or Glenda) and a pseudohermaphrodite (Alan or Anne).,4.2,7859,20000,10158,$ 10158,,135.0,50.0,10.333682539543231,0.20667365079086464,Drama,False,False
1285,tt0045888,La maschera di cera,House of Wax,1953,1953,Horror,88,USA,English,André De Toth,"Crane Wilbur, Charles Belden",Bryan Foy Productions,"Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones, Paul Picerni, Roy Roberts, Angela Clarke, Paul Cavanagh, Dabbs Greer, Charles Bronson, Reggie Rymal","An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.",7.1,15747,1000000,23750000,$ 23750000,,142.0,71.0,10.333682539543231,10.33368253954323,Horror,True,False
1301,tt0046183,Le avventure di Peter Pan,Peter Pan,1953,1953,"Animation, Adventure, Family",77,USA,"English, American Sign Language","Clyde Geronimi, Wilfred Jackson","J.M. Barrie, Ted Sears",Walt Disney Productions,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Tommy Luske, Candy Candido, Tom Conway, Roland Dupree, Don Barclay","Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",7.3,123085,4000000,87404651,$ 87404651,76.0,128.0,135.0,10.333682539543231,41.33473015817292,Family,False,False
1306,tt0046247,La tunica,The Robe,1953,1954,"Drama, History",135,USA,English,Henry Koster,"Philip Dunne, Gina Kaus",Twentieth Century Fox,"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie, Jay Robinson, Dean Jagger, Torin Thatcher, Richard Boone, Betta St. John, Jeff Morrow, Ernest Thesiger, Dawn Addams, Leon Askin","In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.",6.7,9099,5000000,36000000,$ 36000000,,87.0,48.0,10.301325965753428,51.50662982876714,Drama,True,True
1331,tt0046816,L'ammutinamento del Caine,The Caine Mutiny,1954,1954,"Drama, War",124,USA,English,Edward Dmytryk,"Stanley Roberts, Michael Blankfort",Columbia Pictures,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis, May Wynn, Tom Tully, E.G. Marshall, Arthur Franz, Lee Marvin, Warner Anderson, Claude Akins, Katherine Warren, Jerry Paris, Steve Brodie","When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",7.7,23931,2000000,21750000,$ 21750000,63.0,182.0,47.0,10.301325965753428,20.60265193150686,Drama,True,True
1335,tt0046912,Il delitto perfetto,Dial M for Murder,1954,1954,"Crime, Thriller",105,USA,English,Alfred Hitchcock,"Frederick Knott, Frederick Knott",Warner Bros.,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson, Leo Britt, Patrick Allen, George Leigh, George Alderson, Robin Hughes",A tennis player tries to arrange his wife's murder after learning of her affair.,8.2,153300,1400000,12562,$ 18816,75.0,356.0,107.0,10.301325965753428,14.4218563520548,Thriller,True,True
1361,tt0047396,La finestra sul cortile,Rear Window,1954,1955,"Mystery, Thriller",112,USA,English,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich",Alfred J. Hitchcock Productions,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.4,432390,1000000,36764313,$ 37032034,100.0,855.0,157.0,10.330220296823182,10.330220296823182,Thriller,True,True
1368,tt0047522,È nata una stella,A Star Is Born,1954,1955,"Drama, Musical, Romance",154,USA,English,George Cukor,"Moss Hart, Dorothy Parker",Transcona Enterprises,"Judy Garland, James Mason, Jack Carson, Charles Bickford, Tommy Noonan, Lucy Marlow, Amanda Blake, Irving Bacon, Hazel Shermet, James Brown","A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.",7.6,15391,5019770,4335968,$ 4348890,89.0,155.0,85.0,10.330220296823182,51.855329939384106,Romance,True,True
1404,tt0048280,Lilli e il vagabondo,Lady and the Tramp,1955,1955,"Animation, Adventure, Comedy",76,USA,English,"Clyde Geronimi, Wilfred Jackson","Ward Greene, Erdman Penner",Walt Disney Animation Studios,"Peggy Lee, Larry Roberts, Bill Baucom, Verna Felton, George Givot, Stan Freberg, Lee Millar, Barbara Luddy, Bill Thompson, Dal McKennon, Alan Reed, The Mellowmen Quartet",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,7.3,119585,4000000,93602326,$ 93933394,78.0,147.0,127.0,10.330220296823182,41.32088118729273,Comedy,True,True
1426,tt0048545,Gioventù bruciata,Rebel Without a Cause,1955,1956,Drama,111,USA,English,Nicholas Ray,"Stewart Stern, Irving Shulman",Warner Bros.,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Marietta Canty, Virginia Brissac, Beverly Long, Ian Wolfe","A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",7.7,81625,1500000,199963,$ 199963,89.0,335.0,165.0,10.176139331254026,15.26420899688104,Drama,True,True
1443,tt0048960,Il giro del mondo in 80 giorni,Around the World in 80 Days,1956,1957,"Adventure, Comedy, Family",167,USA,"English, Spanish, French","Michael Anderson, John Farrow","James Poe, John Farrow",Michael Todd Company,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton, Charles Boyer, Joe E. Brown, Martine Carol, John Carradine, Charles Coburn, Ronald Colman, Melville Cooper, Noël Coward, Finlay Currie, Reginald Denny, Andy Devine",A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,6.8,24020,6000000,42000000,$ 42000000,,142.0,36.0,9.846873794367243,59.08124276620345,Family,True,True
1469,tt0049261,Il gigante,Giant,1956,1957,"Drama, Western",201,USA,"English, Spanish",George Stevens,"Edna Ferber, Fred Guiol",George Stevens Productions,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Judith Evelyn, Earl Holliman, Robert Nichols, Paul Fix, Alexander Scourby",Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,7.6,33284,5400000,32855818,$ 32855818,84.0,183.0,115.0,9.846873794367243,53.17311848958311,Drama,True,True
1502,tt0049833,I dieci comandamenti,The Ten Commandments,1956,1957,"Adventure, Drama",220,USA,English,Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham",Motion Picture Associates (II),"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo, Debra Paget, John Derek, Cedric Hardwicke, Nina Foch, Martha Scott, Judith Anderson, Vincent Price, John Carradine, Olive Deering, Douglass Dumbrille","Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",7.8,62358,13282712,65500000,$ 65500000,,293.0,76.0,9.846873794367243,130.7931887109273,Drama,True,True
1621,tt0052225,South Pacific,South Pacific,1958,1959,"Musical, Romance, War",157,USA,"English, French",Joshua Logan,"Paul Osborn, Richard Rodgers",Rodgers & Hammerstein Productions,"Rossano Brazzi, Mitzi Gaynor, John Kerr, Ray Walston, Juanita Hall, France Nuyen, Russ Brown, Jack Mullaney, Ken Clark, Floyd Simmons, Candace Lee, Warren Hsieh, Tom Laughlin, Giorgio Tozzi, Archie Savage","On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission.",6.8,7922,6000000,458000,$ 458000,,125.0,37.0,9.488854673650582,56.933128041903494,Romance,False,False
1628,tt0052311,L'infernale Quinlan,Touch of Evil,1958,1958,"Crime, Drama, Film-Noir",95,USA,"English, Spanish",Orson Welles,"Orson Welles, Whit Masterson",Universal International Pictures (UI),"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff, Joanna Moore, Ray Collins, Dennis Weaver, Valentin de Vargas, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Phil Harvey, Joi Lansing","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",8.0,96864,829000,2247465,$ 2286947,99.0,321.0,115.0,9.584554309576012,7.945595522638514,Drama,True,True
1629,tt0052357,La donna che visse due volte,Vertigo,1958,1958,"Mystery, Romance, Thriller",128,USA,English,Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor",Alfred J. Hitchcock Productions,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,8.3,352786,2479000,7705225,$ 7796389,100.0,860.0,182.0,9.584554309576012,23.760110133438932,Thriller,True,True
1638,tt0052618,Ben-Hur,Ben-Hur,1959,1960,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,214854,15000000,74422622,$ 74427638,90.0,445.0,128.0,9.352391212134807,140.28586818202209,Drama,True,True
1672,tt0053285,La bella addormentata nel bosco,Sleeping Beauty,1959,1959,"Animation, Family, Fantasy",75,USA,English,"Clyde Geronimi, Les Clark","Erdman Penner, Charles Perrault",Walt Disney Animation Studios,"Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton, Barbara Luddy, Barbara Jo Allen, Taylor Holmes, Bill Thompson","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",7.2,132245,6000000,51600000,$ 51600000,85.0,193.0,109.0,9.488854673650582,56.933128041903494,Family,False,False
1724,tt0054215,Psyco,Psycho,1960,1960,"Horror, Mystery, Thriller",109,USA,English,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Shamley Productions,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,586765,806947,32000000,$ 32008644,97.0,1284.0,236.0,9.352391212134807,7.5468840314585455,Horror,True,True
1729,tt0054331,Spartacus,Spartacus,1960,1960,"Adventure, Biography, Drama",197,USA,English,Stanley Kubrick,"Dalton Trumbo, Howard Fast",Bryna Productions,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov, John Gavin, Nina Foch, John Ireland, Herbert Lom, John Dall, Charles McGraw, Joanna Barnes, Harold J. Stone, Woody Strode, Peter Brocco",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,7.9,121994,12000000,1830650,$ 1844789,87.0,326.0,128.0,9.352391212134807,112.22869454561769,Drama,True,True
1732,tt0054357,Robinson nell'isola dei corsari,Swiss Family Robinson,1960,1961,"Adventure, Family",126,USA,English,Ken Annakin,"Lowell S. Hawley, Johann David Wyss",Walt Disney Productions,"John Mills, Dorothy McGuire, James MacArthur, Janet Munro, Sessue Hayakawa, Tommy Kirk, Kevin Corcoran, Cecil Parker, Andy Ho, Milton Reid, Larry Taylor",A Swiss family must survive being shipwrecked on a deserted island.,7.2,13786,5000000,40356000,$ 40356000,61.0,73.0,33.0,9.25314127473133,46.265706373656656,Family,True,True
