,imdb_title_id,title,original_title,year,DATE,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,CPI_Multiplier,budget_adj,genre2,oscar,oscar2
7616,tt1226232,Gli ostacoli del cuore,The Greatest,2009,2009,"Drama, Romance",99,USA,English,Shana Feste,Shana Feste,Barbarian Films,"Carey Mulligan, Aaron Taylor-Johnson, Pierce Brosnan, Susan Sarandon, Johnny Simmons, Kevin Hagan, Amy Morton, Deirdre O'Connell, Miles Robbins, Cara Seymour, Ramsey Faragallah, Jennifer Ehle, Colby Minifie, Maryann Urbano, Zoë Kravitz","A drama that is centered around a troubled teenage girl, and a family that is trying to get over the loss of their son.",6.6,8509,6000000,114766,$ 1344544,45.0,54.0,63.0,1.289321610644884,7.735929663869304,Romance,True,True
7618,tt1226837,Beautiful Boy,Beautiful Boy,2018,2019,"Biography, Drama",120,USA,English,Felix van Groeningen,"Luke Davies, Felix van Groeningen",Amazon Studios,"Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull, Christian Convery, Timothée Chalamet, Amy Aquino, Carlton Wilborn, Stefanie Scott, Marypat Farrell, Timothy Hutton, Amy Forsyth, Kue Lawrence, Brandon James Cienfuegos, Cheska Corona","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",7.3,48357,25000000,7649973,$ 16636604,62.0,321.0,225.0,1.0819240035727116,27.04810008931779,Drama,True,True
7619,tt1228705,Iron Man 2,Iron Man 2,2010,2010,"Action, Adventure, Sci-Fi",124,USA,"English, French, Russian",Jon Favreau,"Justin Theroux, Stan Lee",Paramount Pictures,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Mickey Rourke, Samuel L. Jackson, Clark Gregg, John Slattery, Garry Shandling, Paul Bettany, Kate Mara, Leslie Bibb, Jon Favreau, Christiane Amanpour","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7.0,706284,200000000,312433331,$ 623933331,57.0,885.0,495.0,1.2684479244872209,253.68958489744418,Action,True,True
7621,tt1229340,Anchorman 2 - Fotti la notizia,Anchorman 2: The Legend Continues,2013,2013,Comedy,119,USA,English,Adam McKay,"Will Ferrell, Adam McKay",Paramount Pictures,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner, Christina Applegate, Dylan Baker, Meagan Good, Judah Nelson, James Marsden, Greg Kinnear, Josh Lawson, Kristen Wiig, Fred Willard, Chris Parnell, Harrison Ford","With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",6.3,165737,50000000,127352707,$ 173649931,61.0,381.0,278.0,1.187316768844465,59.36583844222325,Comedy,True,True
7623,tt1230168,Diverso come me,Same Kind of Different as Me,2017,2017,"Biography, Drama",119,USA,English,Michael Carney,"Ron Hall, Denver Moore",Disruption Entertainment,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt, Austin Filson, Geraldine Singer, Daniel Zacapa, Dana Gourrier, Thomas Francis Murphy, Ann Mahoney, Theodus Crane, David Dino Wells Jr., Pedro Lucero, Mary Hunter Johnston","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.",6.6,6064,15000000,6423605,$ 6423605,47.0,80.0,28.0,1.1284147620375231,16.926221430562848,Drama,True,True
7630,tt1231580,Alvin Superstar 2,Alvin and the Chipmunks: The Squeakquel,2009,2010,"Animation, Comedy, Family",88,USA,"English, French",Betty Thomas,"Jon Vitti, Jonathan Aibel",Fox 2000 Pictures,"Zachary Levi, David Cross, Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney, Amy Poehler, Anna Faris, Christina Applegate, Wendie Malick, Anjelah Johnson-Reyes, Kathryn Joosten, Kevin G. Schmidt, Chris Warren, Bridgit Mendler","The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",4.5,42604,75000000,219614612,$ 443140005,41.0,105.0,107.0,1.2684479244872209,95.13359433654156,Family,False,False
7631,tt1231583,Parto col folle,Due Date,2010,2011,"Comedy, Drama",95,USA,"English, Spanish",Todd Phillips,"Alan R. Cohen, Alan Freedland",Warner Bros.,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh, Brody Stevens, Jakob Ulrich, Naiia Ulrich, Todd Phillips, Bobby Tisdale, Sharon Conley, Nathalie Fay",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,6.5,318791,65000000,100539043,$ 211780824,51.0,320.0,314.0,1.2297214279983357,79.93189281989183,Comedy,True,True
7632,tt1231587,Un tuffo nel passato,Hot Tub Time Machine,2010,2011,"Comedy, Sci-Fi",101,USA,"English, Russian",Steve Pink,"Josh Heald, Sean Anders",Metro-Goldwyn-Mayer (MGM),"John Cusack, Clark Duke, Craig Robinson, Rob Corddry, Sebastian Stan, Lyndsy Fonseca, Crispin Glover, Chevy Chase, Charlie McDermott, Lizzy Caplan, Collette Wolfe, Aliu Oyofo, Jake Rose, Brook Bennett, Yan-Kay Crystal Lowe","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",6.4,160018,36000000,50287556,$ 64780213,63.0,274.0,271.0,1.2297214279983357,44.26997140794009,Comedy,False,False
7635,tt1232200,Indovina perché ti odio,That's My Boy,2012,2012,Comedy,116,USA,English,Sean Anders,David Caspe,Columbia Pictures,"Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice, James Caan, Milo Ventimiglia, Blake Clark, Meagen Fay, Tony Orlando, Will Forte, Rachel Dratch, Nick Swardson, Peggy Stewart, Luenell, Ciara","While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down.",5.5,89159,70000000,36931089,$ 57719093,31.0,253.0,160.0,1.2047264047003363,84.33084832902354,Comedy,True,True
7640,tt1232783,Patto di sangue,Sorority Row,2009,2010,"Horror, Mystery",101,USA,English,Stewart Hendler,"Josh Stolberg, Pete Goldfinger",House Row Productions,"Teri Andrez, Adam Barrie, Megan Wolfley, Robert Belushi, Marie Blanchard, Briana Evigan, Zack Garrett, Margo Harshman, Rumer Willis, Jamie Chung, Leah Pipes, Audrina Patridge, Matt O'Leary, Julian Morris, Debra Gordon","A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.",5.1,28224,12500000,11965282,$ 27206120,24.0,137.0,176.0,1.2684479244872209,15.855599056090261,Horror,False,False
